Name,Slug
Rock,rock
Pop,pop
Alternative Rock,alternative-rock
Art Rock,art-rock
Britpop,britpop
Grunge,grunge
Hard Rock,hard-rock
Psych Rock,psych-rock
Blues Rock,blues-rock
Glam Rock,glam-rock
Emo,emo
Indie Rock,indie-rock
Garage Rock,garage-rock
Blues,blues
Heavy Metal,heavy-metal
J-Pop,j-pop
Punk Rock,punk-rock
Pop Punk,pop-punk
Jazz,jazz
Soul,soul
R&B,r-and-b
Doo-wop,doo-wop
Classical,classical
Modern Classical,modern-classical
Ambient,ambient
Hip Hop,hip-hop
Jazz Hop,jazz-hop
Trap,trap
Indie Pop,indie-pop
Neo Soul,neo-soul
Experimental R&B,experimental-r-and-b
Indie Folk,indie-folk
Art Pop,art-pop
Jazz Fusion,jazz-fusion
Instrumental,instrumental
New Wave,new-wave
Avant-garde,avant-garde
V-Pop,v-pop
Ballad,ballad
Rap,rap
Folk,folk
