Title,Slug,Year,Description,ArtistName,Genres,ImageUrl
Please Please Me,please-please-me,1963,"Please Please Me is an album by The Beatles released in 1963.",The Beatles,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/6a4cdec0-e10d-4495-9a31-4de32dbcddce-please_please_me.jpg"
Drill EP,drill-ep,1992,"Drill EP is an album by Radiohead released in 1992.",Radiohead,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/7a4b541a-3ade-44d1-a47a-cc1ccc4bcbba-drill_ep.jpg"
(What's the Story) Morning Glory?,whats-the-story-morning-glory,1995,"(What's the Story) Morning Glory? is an album by Oasis released in 1995.",Oasis,Indie Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/a4a998c3-21e3-4b25-bf5f-4f0b01e5928e-whats_the_story_morning_glory.jpg"
The Masterplan,the-masterplan,1998,"The Masterplan is an album by Oasis released in 1998.",Oasis,Indie Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/a983fa27-1d04-4257-97b7-c8f199e4c331-the_masterplan.jpg"
Nirvana,nirvana,2002,"Nirvana is an album by Nirvana released in 2002.",Nirvana,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/0545f572-db31-48df-b192-207778af0e6d-nirvana.jpg"
Sheer Heart Attack,sheer-heart-attack,1974,"Sheer Heart Attack is an album by Queen released in 1974.",Queen,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/df93b5d7-509e-42ff-82e3-ac17b1ef1b92-sheer_heart_attack.jpg"
A Night at the Opera,a-night-at-the-opera,1975,"A Night at the Opera is an album by Queen released in 1975.",Queen,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/f6f4b125-4d87-4c2b-ab76-d8c471d4ca68-a_night_at_the_opera.jpg"
The Doors,the-doors,1967,"The Doors is an album by The Doors released in 1967.",The Doors,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/16c8bd98-b73d-4041-8ea6-b324948ffc42-the_doors.jpg"
Strange Days,strange-days,1967,"Strange Days is an album by The Doors released in 1967.",The Doors,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/ff4e83e8-d29b-4a33-b59b-dd2ab93e0e6c-strange_days.jpg"
Waiting For The Sun,waiting-for-the-sun,1968,"Waiting For The Sun is an album by The Doors released in 1968.",The Doors,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/885973f1-2f67-4fb7-9768-b7646345d95d-waiting_for_the_sun.jpg"
David Bowie,david-bowie,1967,"David Bowie is an album by David Bowie released in 1967.",David Bowie,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/c276d1e0-7f54-4393-b40d-fc94e24de638-david_bowie.jpg"
Space Oddity (2019 Mix),space-oddity-2019-mix,1969,"Space Oddity (2019 Mix) is an album by David Bowie released in 1969.",David Bowie,Rock,"https://d1mcd66l4tbl1o.cloudfront.net/releases/035039e8-325a-45db-a0f4-043f8b69b7e0-space_oddity_2019_mix.jpg"
David Bowie Narrates Prokofiev's Peter and the Wolf,david-bowie-narrates-prokofievs-peter-and-the-wolf,1978,"David Bowie Narrates Prokofiev's Peter and the Wolf is an album by David Bowie released in 1978.",David Bowie,Classical,"https://d1mcd66l4tbl1o.cloudfront.net/releases/dd10b211-8f02-4ed2-a0c6-68bdf895740a-david_bowie_narrates_prokofievs_peter_and_the_wolf.jpg"
