ReleaseTitle,Position,Title,Side,DurationSeconds
Please Please Me,1,I Saw Her Standing There,A,170
Please Please Me,2,Misery,A,104
Please Please Me,3,Anna (Go To Him),A,172
Please Please Me,4,Chains,A,140
Please Please Me,5,Boys,A,140
Please Please Me,6,Ask Me Why,A,140
Please Please Me,7,Please Please Me,A,118
Please Please Me,8,Love Me Do,B,135
Please Please Me,9,P.S. I Love You,B,120
Please Please Me,10,Baby It's You,B,149
Please Please Me,11,Do You Want To Know A Secret,B,112
Please Please Me,12,A Taste Of Honey,B,119
Please Please Me,13,There's A Place,B,106
Please Please Me,14,Twist And Shout,B,150
Drill EP,1,Prove Yourself,A,
Drill EP,2,Stupid Car,A,
Drill EP,3,You,B,
Drill EP,4,Thinking About You,B,
(What's the Story) Morning Glory?,1,Hello,,201
(What's the Story) Morning Glory?,2,Roll With It,,239
(What's the Story) Morning Glory?,3,Wonderwall,,258
(What's the Story) Morning Glory?,4,Don't Look Back In Anger,,288
(What's the Story) Morning Glory?,5,Hey Now!,,341
(What's the Story) Morning Glory?,6,(Untitled),,44
(What's the Story) Morning Glory?,7,Some Might Say,,329
(What's the Story) Morning Glory?,8,Cast No Shadow,,291
(What's the Story) Morning Glory?,9,She's Electric,,220
(What's the Story) Morning Glory?,10,Morning Glory,,303
(What's the Story) Morning Glory?,11,(Untitled),,39
(What's the Story) Morning Glory?,12,Champagne Supernova,,447
The Masterplan,1,Acquiesce,,264
The Masterplan,2,Underneath The Sky,,201
The Masterplan,3,Talk Tonight,,261
The Masterplan,4,Going Nowhere,,279
The Masterplan,5,Fade Away,,253
The Masterplan,6,The Swamp Song,,259
The Masterplan,7,I Am The Walrus (Live),,385
The Masterplan,8,Listen Up,,381
The Masterplan,9,Rockin' Chair,,275
The Masterplan,10,Half The World Away,,261
The Masterplan,11,(It's Good) To Be Free,,258
The Masterplan,12,Stay Young,,305
The Masterplan,13,Headshrinker,,278
The Masterplan,14,The Masterplan,,322
Nirvana,1,You Know You're Right,,218
Nirvana,2,About A Girl,,169
Nirvana,3,Been A Son,,143
Nirvana,4,Sliver,,134
Nirvana,5,Smells Like Teen Spirit,,301
Nirvana,6,Come As You Are,,219
Nirvana,7,Lithium,,257
Nirvana,8,In Bloom,,254
